Fold,MSE,RMSE,R^2
1,279.88621021258945,16.729800064931723,0.4996003700150249
2,210.38494728492017,14.50465260821231,0.5968405321373605
3,127.69365212920225,11.300161597481793,0.6722944991313518
4,307.778415613121,17.5436146678249,0.5046186036838927
5,132.16698131691066,11.496389925403134,0.6844939843832303
